filename,inv,ltr,rtl
int_check_bvsge_bvadd,True,True,True
int_check_bvsge_bvand,True,False,False
int_check_bvsge_bvashr0,True,True,False
int_check_bvsge_bvashr1,True,False,True
int_check_bvsge_bvlshr0,True,False,False
int_check_bvsge_bvlshr1,True,False,True
int_check_bvsge_bvmul,False,False,False
int_check_bvsge_bvneg,True,True,True
int_check_bvsge_bvnot,True,True,True
int_check_bvsge_bvor,True,False,False
int_check_bvsge_bvshl0,True,False,False
int_check_bvsge_bvshl1,False,False,False
int_check_bvsge_bvudiv0,True,True,True
int_check_bvsge_bvudiv1,False,False,True
int_check_bvsge_bvurem0,True,True,True
int_check_bvsge_bvurem1,True,False,True
int_check_bvsgt_bvadd,True,True,True
int_check_bvsgt_bvand,True,True,False
int_check_bvsgt_bvashr0,True,True,False
int_check_bvsgt_bvashr1,True,False,False
int_check_bvsgt_bvlshr0,True,True,False
int_check_bvsgt_bvlshr1,True,False,True
int_check_bvsgt_bvmul,False,False,False
int_check_bvsgt_bvneg,True,True,True
int_check_bvsgt_bvnot,True,True,True
int_check_bvsgt_bvor,True,True,False
int_check_bvsgt_bvshl0,True,False,False
int_check_bvsgt_bvshl1,False,False,False
int_check_bvsgt_bvudiv0,True,False,True
int_check_bvsgt_bvudiv1,False,False,True
int_check_bvsgt_bvurem0,True,True,True
int_check_bvsgt_bvurem1,False,False,True
int_check_bvsle_bvadd,True,True,True
int_check_bvsle_bvand,True,False,False
int_check_bvsle_bvashr0,True,True,True
int_check_bvsle_bvashr1,True,False,True
int_check_bvsle_bvlshr0,True,True,True
int_check_bvsle_bvlshr1,True,False,True
int_check_bvsle_bvmul,False,False,True
int_check_bvsle_bvneg,True,True,True
int_check_bvsle_bvnot,True,True,True
int_check_bvsle_bvor,True,False,False
int_check_bvsle_bvshl0,True,True,False
int_check_bvsle_bvshl1,False,False,True
int_check_bvsle_bvudiv0,True,True,True
int_check_bvsle_bvudiv1,True,False,True
int_check_bvsle_bvurem0,True,False,False
int_check_bvsle_bvurem1,True,True,True
int_check_bvslt_bvadd,True,True,True
int_check_bvslt_bvand,True,False,False
int_check_bvslt_bvashr0,True,True,True
int_check_bvslt_bvashr1,True,False,True
int_check_bvslt_bvlshr0,True,True,True
int_check_bvslt_bvlshr1,True,False,True
int_check_bvslt_bvmul,False,False,False
int_check_bvslt_bvneg,True,True,True
int_check_bvslt_bvnot,True,True,True
int_check_bvslt_bvor,True,False,False
int_check_bvslt_bvshl0,True,True,False
int_check_bvslt_bvshl1,False,False,False
int_check_bvslt_bvudiv0,True,True,True
int_check_bvslt_bvudiv1,True,False,True
int_check_bvslt_bvurem0,True,False,False
int_check_bvslt_bvurem1,True,True,True
int_check_bvuge_bvadd,True,True,True
int_check_bvuge_bvand,True,True,True
int_check_bvuge_bvashr0,True,True,True
int_check_bvuge_bvashr1,True,False,True
int_check_bvuge_bvlshr0,True,True,True
int_check_bvuge_bvlshr1,True,True,True
int_check_bvuge_bvmul,False,False,False
int_check_bvuge_bvneg,True,True,True
int_check_bvuge_bvnot,True,True,True
int_check_bvuge_bvor,True,True,True
int_check_bvuge_bvshl0,True,True,False
int_check_bvuge_bvshl1,False,False,True
int_check_bvuge_bvudiv0,True,False,False
int_check_bvuge_bvudiv1,True,True,True
int_check_bvuge_bvurem0,True,True,True
int_check_bvuge_bvurem1,True,False,False
int_check_bvugt_bvadd,True,True,True
int_check_bvugt_bvand,True,True,True
int_check_bvugt_bvashr0,True,True,True
int_check_bvugt_bvashr1,True,False,True
int_check_bvugt_bvlshr0,True,True,False
int_check_bvugt_bvlshr1,True,True,True
int_check_bvugt_bvmul,False,False,False
int_check_bvugt_bvneg,True,True,True
int_check_bvugt_bvnot,True,True,True
int_check_bvugt_bvor,True,True,True
int_check_bvugt_bvshl0,True,True,False
int_check_bvugt_bvshl1,False,False,True
int_check_bvugt_bvudiv0,True,True,True
int_check_bvugt_bvudiv1,True,True,True
int_check_bvugt_bvurem0,True,True,True
int_check_bvugt_bvurem1,True,True,True
int_check_bvule_bvadd,True,True,True
int_check_bvule_bvand,True,True,True
int_check_bvule_bvashr0,True,True,True
int_check_bvule_bvashr1,True,False,True
int_check_bvule_bvlshr0,True,True,True
int_check_bvule_bvlshr1,True,True,True
int_check_bvule_bvmul,True,True,True
int_check_bvule_bvneg,True,True,True
int_check_bvule_bvnot,True,True,True
int_check_bvule_bvor,True,False,True
int_check_bvule_bvshl0,True,True,True
int_check_bvule_bvshl1,True,False,True
int_check_bvule_bvudiv0,True,True,False
int_check_bvule_bvudiv1,True,True,False
int_check_bvule_bvurem0,True,True,True
int_check_bvule_bvurem1,True,True,True
int_check_bvult_bvadd,True,True,True
int_check_bvult_bvand,True,True,True
int_check_bvult_bvashr0,True,True,True
int_check_bvult_bvashr1,True,False,True
int_check_bvult_bvlshr0,True,True,True
int_check_bvult_bvlshr1,True,True,True
int_check_bvult_bvmul,True,True,True
int_check_bvult_bvneg,True,True,True
int_check_bvult_bvnot,True,True,True
int_check_bvult_bvor,True,False,True
int_check_bvult_bvshl0,True,True,True
int_check_bvult_bvshl1,True,False,True
int_check_bvult_bvudiv0,True,True,True
int_check_bvult_bvudiv1,True,True,False
int_check_bvult_bvurem0,True,True,True
int_check_bvult_bvurem1,True,True,True
int_check_eq_bvadd,True,True,True
int_check_eq_bvand,True,True,False
int_check_eq_bvashr0,True,False,True
int_check_eq_bvashr1,False,False,True
int_check_eq_bvlshr0,True,True,True
int_check_eq_bvlshr1,False,False,True
int_check_eq_bvmul,False,False,False
int_check_eq_bvneg,True,True,True
int_check_eq_bvnot,True,True,True
int_check_eq_bvor,True,True,False
int_check_eq_bvshl0,True,True,False
int_check_eq_bvshl1,False,False,True
int_check_eq_bvudiv0,True,True,True
int_check_eq_bvudiv1,False,False,True
int_check_eq_bvurem0,True,True,True
int_check_eq_bvurem1,True,False,False
int_check_ne_bvadd,True,True,True
int_check_ne_bvand,True,False,True
int_check_ne_bvashr0,True,True,True
int_check_ne_bvashr1,True,False,True
int_check_ne_bvlshr0,True,True,True
int_check_ne_bvlshr1,True,False,True
int_check_ne_bvmul,True,False,True
int_check_ne_bvneg,True,True,True
int_check_ne_bvnot,True,True,True
int_check_ne_bvor,True,False,True
int_check_ne_bvshl0,True,False,True
int_check_ne_bvshl1,True,False,True
int_check_ne_bvudiv0,True,True,True
int_check_ne_bvudiv1,True,False,True
int_check_ne_bvurem0,True,True,True
int_check_ne_bvurem1,True,True,True
